Date,open,high,low,close
2000-03-27,1527.46,1534.63,1518.46,1525.1858154484453
2000-03-28,1523.86,1527.36,1507.09,1506.8512192018889
2000-03-29,1507.73,1521.45,1497.45,1507.0936468878392
2000-03-30,1508.52,1517.38,1474.63,1484.9634523286106
2000-03-31,1487.92,1519.81,1484.38,1496.497037900236
2000-04-03,1498.58,1507.19,1486.96,1504.4801663437622
2000-04-04,1505.98,1526.45,1416.41,1493.259198712908
2000-04-05,1494.73,1506.55,1478.05,1488.928088175718
2000-04-06,1487.37,1511.76,1487.37,1502.8210954940987
2000-04-07,1501.34,1518.68,1501.34,1518.302191998032
2000-04-10,1516.35,1527.19,1503.35,1505.9899769498227
2000-04-11,1504.46,1512.8,1486.78,1503.048110558638
2000-04-12,1500.59,1509.08,1466.15,1468.4958154484455
2000-04-13,1467.17,1477.52,1439.34,1439.6312192018888
2000-04-14,1440.51,1440.51,1339.4,1355.1336468878392
2000-04-17,1356.56,1401.53,1346.5,1398.4834523286106
2000-04-18,1401.44,1441.61,1397.81,1439.5270379002359
2000-04-19,1441.61,1447.69,1424.26,1425.9801663437622
2000-04-20,1427.47,1435.49,1422.08,1433.069198712908
2000-04-24,1434.54,1434.54,1407.13,1431.418088175718
2000-04-25,1429.86,1477.67,1429.86,1478.9210954940988
2000-04-26,1477.44,1482.94,1456.98,1462.942191998032
2000-04-27,1460.99,1469.21,1434.81,1466.4499769498227
2000-04-28,1464.92,1473.62,1448.15,1454.8881105586381
2000-05-01,1452.43,1481.51,1452.43,1469.5758154484454
2000-05-02,1468.25,1468.25,1445.22,1445.4112192018888
2000-05-03,1446.29,1446.29,1398.36,1413.6736468878391
2000-05-04,1415.1,1420.99,1404.94,1406.6134523286105
2000-05-05,1409.57,1436.03,1405.08,1430.547037900236
2000-05-08,1432.63,1432.63,1417.05,1422.6801663437623
2000-05-09,1424.17,1430.28,1401.85,1410.6691987129082
2000-05-10,1412.14,1412.14,1375.14,1384.608088175718
2000-05-11,1383.05,1410.26,1383.05,1409.2910954940987
2000-05-12,1407.81,1430.13,1407.81,1422.912191998032
2000-05-15,1420.96,1452.39,1416.54,1453.8899769498225
2000-05-16,1452.36,1470.4,1450.76,1468.498110558638
2000-05-17,1466.04,1466.04,1441.67,1449.1258154484453
2000-05-18,1447.8,1458.04,1436.59,1436.3312192018889
2000-05-19,1437.21,1437.21,1401.74,1405.5236468878393
2000-05-22,1406.95,1410.55,1368.73,1397.7634523286106
2000-05-23,1400.72,1403.77,1373.43,1371.7770379002359
2000-05-24,1373.86,1401.75,1361.09,1397.5601663437621
2000-05-25,1399.05,1411.65,1373.93,1380.049198712908
2000-05-26,1381.52,1391.42,1369.75,1379.578088175718
2000-05-30,1378.02,1422.45,1378.02,1423.9310954940988
2000-05-31,1422.44,1434.49,1415.5,1422.552191998032
2000-06-01,1420.6,1448.81,1420.6,1450.3399769498226
2000-06-02,1448.81,1483.23,1448.81,1479.718110558638
2000-06-05,1477.26,1477.28,1464.68,1468.9558154484455
2000-06-06,1467.63,1471.36,1454.74,1456.9612192018888
2000-06-07,1457.84,1474.64,1455.06,1469.9336468878391
2000-06-08,1471.36,1475.65,1456.49,1458.7134523286106
2000-06-09,1461.67,1472.67,1454.96,1454.867037900236
2000-06-12,1456.95,1462.93,1445.99,1444.5101663437622
2000-06-13,1446.0,1470.42,1442.38,1467.969198712908
2000-06-14,1469.44,1483.62,1467.71,1472.098088175718
2000-06-15,1470.54,1482.04,1464.62,1480.2110954940988
2000-06-16,1478.73,1480.77,1460.42,1466.412191998032
2000-06-19,1464.46,1488.93,1459.05,1487.5299769498226
2000-06-20,1486.0,1487.32,1470.18,1478.408110558638
2000-06-21,1475.95,1482.19,1468.0,1480.4558154484455
2000-06-22,1479.13,1479.13,1448.03,1451.301219201889
2000-06-23,1452.18,1459.94,1438.31,1440.0536468878392
2000-06-26,1441.48,1459.66,1441.48,1452.3534523286105
2000-06-27,1455.31,1463.35,1450.55,1448.467037900236
2000-06-28,1450.55,1467.63,1450.55,1453.3301663437621
2000-06-29,1454.82,1455.14,1434.63,1440.9191987129082
2000-06-30,1442.39,1454.68,1438.71,1456.158088175718
2000-07-03,1454.6,1469.58,1450.85,1471.0210954940987
2000-07-05,1469.54,1469.54,1442.45,1448.182191998032
2000-07-06,1446.23,1461.65,1439.56,1458.1999769498227
2000-07-07,1456.67,1484.12,1456.67,1481.3581105586381
2000-07-10,1478.9,1486.56,1474.76,1476.9458154484453
2000-07-11,1475.62,1488.77,1470.48,1480.001219201889
2000-07-12,1480.88,1497.69,1480.88,1491.4936468878393
2000-07-13,1492.92,1501.39,1489.65,1492.8834523286105
2000-07-14,1495.84,1509.99,1494.56,1507.897037900236
2000-07-17,1509.98,1517.32,1505.26,1509.0001663437622
2000-07-18,1510.49,1510.49,1491.35,1492.269198712908
2000-07-19,1493.74,1495.63,1479.92,1483.518088175718
2000-07-20,1481.96,1501.92,1481.96,1497.0510954940987
2000-07-21,1495.57,1495.57,1477.91,1482.142191998032
2000-07-24,1480.19,1485.88,1463.8,1465.8199769498226
2000-07-25,1464.29,1476.23,1464.29,1476.928110558638
2000-07-26,1474.47,1474.47,1452.42,1453.7458154484455
2000-07-27,1452.42,1464.91,1445.33,1448.7412192018887
2000-07-28,1449.62,1456.68,1413.89,1418.4636468878393
2000-07-31,1419.89,1437.65,1418.71,1427.8734523286105
2000-08-01,1430.83,1443.54,1428.96,1436.017037900236
2000-08-02,1438.1,1451.59,1433.49,1437.2101663437622
2000-08-03,1438.7,1454.19,1425.43,1451.089198712908
2000-08-04,1452.56,1462.93,1451.31,1464.488088175718
2000-08-07,1462.93,1480.8,1460.72,1480.8010954940987
2000-08-08,1479.32,1484.52,1472.61,1484.752191998032
2000-08-09,1482.8,1490.33,1471.16,1474.3999769498225
2000-08-10,1472.87,1475.15,1459.89,1462.708110558638
2000-08-11,1460.25,1475.72,1453.06,1473.1658154484453
2000-08-14,1471.84,1491.64,1468.56,1490.6812192018888
2000-08-15,1491.56,1493.12,1482.74,1483.0036468878393
2000-08-16,1484.43,1496.09,1475.74,1476.8934523286105
2000-08-17,1479.85,1499.32,1479.85,1493.987037900236
2000-08-18,1496.07,1499.47,1488.99,1490.2301663437622
2000-08-21,1491.72,1502.84,1491.13,1498.009198712908
2000-08-22,1499.48,1508.45,1497.42,1499.6880881757181
2000-08-23,1498.13,1507.2,1489.52,1507.4510954940988
2000-08-24,1505.97,1511.16,1501.25,1510.262191998032
2000-08-25,1508.31,1513.47,1505.09,1507.9799769498227
2000-08-28,1506.45,1523.95,1506.45,1516.548110558638
2000-08-29,1514.09,1514.81,1505.46,1511.1658154484453
2000-08-30,1509.84,1510.49,1500.09,1501.7112192018888
2000-08-31,1502.59,1525.21,1502.59,1516.2536468878393
2000-09-01,1517.68,1530.09,1515.53,1517.8134523286105
2000-09-05,1520.77,1520.77,1504.21,1504.997037900236
2000-09-06,1507.08,1512.61,1492.12,1490.7601663437622
2000-09-07,1492.25,1505.34,1492.25,1501.039198712908
2000-09-08,1502.51,1502.51,1489.88,1496.058088175718
2000-09-11,1494.5,1506.76,1483.01,1490.7410954940988
2000-09-12,1489.26,1496.93,1479.67,1483.942191998032
2000-09-13,1481.99,1487.45,1473.61,1486.4399769498227
2000-09-14,1484.91,1494.16,1476.73,1483.328110558638
2000-09-15,1480.87,1480.96,1460.22,1467.1358154484453
2000-09-18,1465.81,1467.77,1441.92,1443.6312192018888
2000-09-19,1444.51,1461.16,1444.51,1458.4736468878393
2000-09-20,1459.9,1460.49,1430.95,1448.3834523286105
